Folder	File	Author	Title	Genre	Updated	Lang	Series	Annotation	Keywords	PublishYear
f.fb2-263214-266671.7z	Sergey_Vladimirovich_Redkin_Skazki_kota_Persika.fb2	Редькин,Сергей,Владимирович:	Шустрые ребята	home_pets:	2012-02-25	ru				
fb2-060424-074391.7z	66552.fb2	Брэдбери,Рэй,:	Лекарство от меланхолии	sf:	2009-01-11	ru				
fb2-074392-091839.7z	89132.fb2	Тараторин,В.,В.:	История боевого фехтования: Развитие тактики ближнего боя от древности до начала IX века	sci_history:	2009-01-11	ru		<p>Тараторин В. В.</p><p><strong>История боевого фехтования:<emphasis>Развитие тактики ближнего боя от древности до начала IX века.</emphasis></strong></p><p><emphasis>OCR Палек, 1998 г.</emphasis></p><p>Боевое фехтование – это искусство ведения ближнего боя холодным ору-жием. Именно оно играло главную роль в бесчисленных войнах прошедших веков. Боевое фехтование утратило свое прежнее значение только в XX веке, в связи с широким распространением автоматического стрелкового оружия, артиллерии и бронетехники.</p><p>Автор книги, член Смоленского клуба исторического фехтования, рассмотрел все основные этапы развития техники и тактики боевого фехтования в Европе. Вершиной европейского фехтовального искусства он считает фехтование на шпагах и саблях, характерное для XVIIIXIX веков. В то же время он подчеркивает, что некоторые разделы боевого фехтования, такие как штыковой бой, работа дубинкой и ножом, сохраняют свое прикладное значение до сих пор.</p><p>Эта книга представляет большой интерес для тех читателей, которые хотят совершенствовать свои навыки рукопашного боя, а также для всех любителей военной истории, сценического и спортивного фехтования.</p>		
fb2-091841-104214.7z	103995.fb2	Бiлик,Iван,:	Меч Арея	prose_contemporary:	2009-01-11	un				
fb2-091841-104214.7z	94193.fb2	Чекмарев,Владимир,Альбертович:	Хроники майора Сварога	sf_fantasy:network_literature:	2009-01-11	ru	Сварог#			
fb2-091841-104214.7z	97295.fb2	Шалыгин,Вячеслав,Владимирович:	Странствия Безногого	sf_space:	2009-01-11	ru	Преображенский#5	<p>Сверхсекретное задание майора разведки Федора Сбондина и финансовый кризис вольного космического волка капитана Зигфрида Безногого настолько сближают этих разных людей, что в дальнейшей жизни им уже друг без друга не обойтись. Теперь они вместе будут мешать олигарху Злюхину разорять родину, вместе готовиться к отражению бастурман-бастманчского нашествия, вместе спасать бойцовую швахианскую мурлышку со вселенской помойки. Не сказать, чтобы этот альянс сложился на добровольной основе, однако эффективность его подтвердила уже первая операция. Галактика вздрогнула, и звезды начали сыпаться… у Безногого из глаз, а Сбондину на погоны. И чем дальше, тем чаще.</p>		
fb2-132108-141328.7z	134688.fb2	Круз,Андрей,:	У Великой реки	sf_fantasy:	2009-01-11	ru		"<p>Когда-то пересеклись миры, чуть не разрушив друг друга. Мир наш, привычный, столкнулся с миром другим, в котором магия обычна, а боги надзирают за людьми и прочими населяющими его расами. И остался от нашего мира в том изрядный кусок. Но только история совсем не об этом, потому что с тех пор прошло двести лет, и все это уже быльем поросло. А история о том, как живущий в мире Великой реки бывший драгунский унтер, а ныне охотник на нечисть, нежить и прочих чудовищ, за свои же собственные деньги влип в такую историю… Когда-то, пару сотен лет назад, кусок современного нам Поволжья провалился в иной мир. Мир, где колдовство – норма жизни, и присутствует полный набор фантастических рас, от эльфов до орков. Главный герой – отдаленный потомок первых ""пришельцев"", охотник на нечисть и прочих чудовищ, влипший неожиданно для себя самого в сомнительную историю.</p>"		
fb2-132108-141328.7z	139206.fb2	Прорез,Журнал,:Митин,Сергей,:	Туристические ножи	home_crafts:	2009-02-10	ru	"Статьи из журнала ""Прорез""#26"	"<p>Статья опубликована в журнале ""Прорез"" №5, 2005 (№26).</p>"		
fb2-132108-141328.7z	140206.fb2	Прикли,Нэт,:	Посланник	sf:	2009-01-30	ru	Мир пауков#2	<p>Издательство «Северо-Запад» продолжает публикацию серии романов о Мире Пауков, созданную знаменитыми Колином Уилсоном и Нэтом Прикли.</p><p>…Империя пауков гибнет под ударами беспощадного врага. Спасаясь от захватчиков, Найл и его приближенные вынуждены отправиться за помощью к Великой Богине Дельты.</p>		1999
fb2-132108-141328.7z	140508.fb2	Чернованова,Валерия,Михайловна:	Проклятие Владык	sf_humor:sf_fantasy:	2009-02-27	en	Проклятие#			
fb2-147519-153549.7z	147745.fb2	Перес-Реверте,Артуро,:	Клуб Дюма, или тень Ришелье	thriller_mystery:thriller:	2009-05-13	ru		<p>Действие романа «Клуб Дюма, или Тень Ришелье» происходит в особом мире – мире книг. Герои этой истории – библиофилы, букинисты, переплетчики и просто страстные любители литературы. Одни из них отдают предпочтение романам «плаща и шпаги», другие – детективам, третьи пытаются разгадать тайны, скрытые в трудах по демонологии.</p>		
